Date,Year,Locality,Estimated Value,Sale Price,Property,Residential,num_rooms,num_bathrooms,carpet_area,property_tax_rate,Face
2009-01-29,2009,Bridgeport,49071.0,121900.0,Single Family,Detached House,3,3,941.0,1.025953,East
2009-01-29,2009,,2501660.0,4475000.0,Single Family,Detached House,3,1,,1.025953,West
2009-01-29,2009,Bridgeport,49748.0,113000.0,Single Family,Detached House,3,1,1071.0,1.025953,South
2009-01-29,2009,,90720.0,200000.0,Single Family,Detached House,3,2,1073.0,1.025953,West
2009-01-30,2009,Greenwich,567490.0,1127000.0,Single Family,Detached House,3,2,931.0,1.025953,North
2009-01-30,2009,Fairfield,466620.0,800000.0,Single Family,Detached House,3,1,929.0,1.025953,West
2009-01-31,2009,Bridgeport,91000.0,210000.0,Single Family,Detached House,3,1,1043.0,1.025953,North
2009-01-31,2009,Greenwich,6246170.0,8500000.0,Single Family,Detached House,3,1,1080.0,1.025953,South
2009-01-31,2009,Fairfield,736330.0,207000.0,Single Family,Detached House,3,1,1033.0,1.025953,West
2009-01-31,2009,Greenwich,2540720.0,3845000.0,Single Family,Detached House,3,3,,1.025953,East
2009-02-01,2009,Greenwich,4122790.0,6150000.0,Single Family,Detached House,3,2,1030.0,1.025953,East
2009-02-01,2009,Waterbury,67200.0,159500.0,Single Family,Detached House,3,3,918.0,1.025953,East
2009-02-01,2009,Bridgeport,149870.0,275000.0,Single Family,Detached House,3,1,984.0,1.025953,North
2009-02-01,2009,Norwalk,695076.0,2000000.0,Single Family,Detached House,3,3,1099.0,1.025953,North
2009-02-01,2009,Waterbury,81210.0,219000.0,Single Family,Detached House,3,3,1012.0,1.025953,South
2009-02-02,2009,Bridgeport,157990.0,256500.0,Single Family,Detached House,3,2,,1.025953,East
2009-02-05,2009,Greenwich,,770000.0,?,Detached House,3,2,1071.0,1.025953,South
2009-02-06,2009,Waterbury,57680.0,69000.0,?,Detached House,3,3,1056.0,1.025953,North
2009-02-06,2009,Bridgeport,,220000.0,Single Family,Detached House,3,1,977.0,1.025953,East
2009-02-07,2009,Norwalk,,391000.0,Single Family,Detached House,3,3,948.0,1.025953,North
2009-02-07,2009,Greenwich,11425890.0,8350000.0,Single Family,Detached House,3,2,1054.0,1.025953,West
2009-02-08,2009,Bridgeport,151130.0,440000.0,Three Family,Triplex,6,4,2053.0,1.025953,East
2009-02-08,2009,Fairfield,457380.0,750000.0,?,Detached House,3,3,995.0,1.025953,South
2009-02-09,2009,,96950.0,310000.0,Three Family,Triplex,6,6,2182.0,1.025953,West
2009-02-09,2009,Bridgeport,125300.0,188000.0,Single Family,Detached House,3,2,1030.0,1.025953,West
2009-02-12,2009,Bridgeport,100520.0,150000.0,Single Family,Detached House,3,1,942.0,1.025953,East
2009-02-12,2009,Norwalk,187740.0,360000.0,Single Family,Detached House,3,3,1076.0,1.025953,North
2009-02-13,2009,Bridgeport,96321.0,283000.0,Two Family,Duplex,4,2,1362.0,1.025953,East
2009-02-13,2009,Waterbury,,136000.0,Single Family,Detached House,3,3,1057.0,1.025953,West
2009-02-13,2009,Waterbury,52570.0,82400.0,Single Family,Detached House,3,3,1099.0,1.025953,East
2009-02-14,2009,Waterbury,99470.0,186000.0,Single Family,Detached House,3,3,1024.0,1.025953,East
2009-02-15,2009,Waterbury,49000.0,129900.0,Single Family,Detached House,3,1,1092.0,1.025953,South
2009-02-15,2009,Waterbury,75180.0,115000.0,Three Family,Triplex,6,4,2196.0,1.025953,West
2009-02-15,2009,Waterbury,159180.0,240000.0,?,Detached House,3,2,928.0,1.025953,East
2009-02-16,2009,Norwalk,,640000.0,Single Family,Detached House,3,3,1002.0,1.025953,South
2009-02-16,2009,,179830.0,319000.0,Single Family,Detached House,3,3,928.0,1.025953,North
2009-02-16,2009,Bridgeport,115430.0,261000.0,Single Family,Detached House,3,1,910.0,1.025953,South
2009-02-20,2009,,93520.0,135000.0,Two Family,Duplex,4,4,1494.0,1.025953,West
2009-02-20,2009,Fairfield,302820.0,392500.0,Single Family,Detached House,3,1,1059.0,1.025953,West
2009-02-20,2009,Norwalk,724240.0,1160000.0,Single Family,Detached House,3,2,929.0,1.025953,West
2009-02-20,2009,Waterbury,57820.0,135000.0,Single Family,Detached House,3,2,909.0,1.025953,North
2009-02-20,2009,Fairfield,3416770.0,5650000.0,Single Family,Detached House,3,3,1005.0,1.025953,West
2009-02-21,2009,Waterbury,47050.0,96400.0,Single Family,Detached House,3,1,913.0,1.025953,West
2009-02-21,2009,Greenwich,653450.0,1250000.0,Single Family,Detached House,3,2,932.0,1.025953,South
2009-02-21,2009,Waterbury,62300.0,139900.0,Single Family,Detached House,3,3,909.0,1.025953,North
2009-02-21,2009,Bridgeport,146510.0,314000.0,?,Detached House,3,3,1026.0,1.025953,East
2009-02-21,2009,Fairfield,669200.0,925000.0,Single Family,Detached House,3,3,900.0,1.025953,North
2009-02-22,2009,Fairfield,346360.0,550000.0,?,Detached House,3,2,925.0,1.025953,West
2009-02-22,2009,Bridgeport,,42500.0,Two Family,Duplex,4,4,1382.0,1.025953,East
2009-02-22,2009,Norwalk,,417000.0,?,Detached House,3,1,975.0,1.025953,West
2009-02-23,2009,Greenwich,450940.0,721900.0,Single Family,Detached House,3,3,1019.0,1.025953,East
2009-02-27,2009,Fairfield,424270.0,190000.0,Single Family,Detached House,3,1,1056.0,1.025953,East
2009-02-28,2009,Fairfield,333620.0,430000.0,Single Family,Detached House,3,2,1015.0,1.025953,West
2009-02-28,2009,Waterbury,,174000.0,Single Family,Detached House,3,1,1031.0,1.025953,East
2009-03-01,2009,,140000.0,233000.0,Single Family,Detached House,3,1,,1.025953,North
2009-03-01,2009,Norwalk,281400.0,573000.0,Single Family,Detached House,3,2,1099.0,1.025953,West
2009-03-01,2009,Bridgeport,,127550.0,Single Family,Detached House,3,1,941.0,1.025953,East
2009-03-02,2009,Waterbury,,144000.0,?,Detached House,3,2,963.0,1.025953,East
2009-03-02,2009,Bridgeport,134121.0,347500.0,Single Family,Detached House,3,2,955.0,1.025953,North
2009-03-02,2009,Fairfield,348950.0,480000.0,?,Detached House,3,1,,1.025953,South
2009-03-02,2009,Bridgeport,69370.0,190000.0,Single Family,Detached House,3,2,,1.025953,South
2009-03-05,2009,Bridgeport,96600.0,183000.0,Two Family,Duplex,4,3,1426.0,1.025953,East
2009-03-05,2009,Bridgeport,105700.0,248000.0,Single Family,Detached House,3,3,1057.0,1.025953,East
2009-03-05,2009,Waterbury,55510.0,130000.0,Three Family,Triplex,6,5,2003.0,1.025953,North
2009-03-05,2009,Norwalk,256060.0,327000.0,Single Family,Detached House,3,1,958.0,1.025953,South
2009-03-06,2009,Waterbury,98910.0,245000.0,Single Family,Detached House,3,2,998.0,1.025953,East
2009-03-06,2009,Bridgeport,,276000.0,Two Family,Duplex,4,3,1386.0,1.025953,South
2009-03-06,2009,Greenwich,2051980.0,3300000.0,Single Family,Detached House,3,2,943.0,1.025953,South
2009-03-07,2009,Bridgeport,126070.0,271000.0,Single Family,Detached House,3,1,1052.0,1.025953,West
2009-03-07,2009,Bridgeport,112210.0,325000.0,Two Family,Duplex,4,4,1400.0,1.025953,North
2009-03-08,2009,Greenwich,,4100000.0,Single Family,Detached House,3,2,1068.0,1.025953,West
2009-03-08,2009,Greenwich,2108820.0,150000.0,Single Family,Detached House,3,2,1038.0,1.025953,South
2009-03-09,2009,Bridgeport,102690.0,150000.0,Single Family,Detached House,3,3,,1.025953,East
2009-03-09,2009,Fairfield,1232420.0,2200000.0,Single Family,Detached House,3,3,923.0,1.025953,East
2009-03-12,2009,,774410.0,960000.0,?,Detached House,3,1,,1.025953,East
2009-03-12,2009,Norwalk,287070.0,585000.0,Single Family,Detached House,3,3,919.0,1.025953,East
2009-03-12,2009,Bridgeport,,159000.0,Single Family,Detached House,3,2,,1.025953,North
2009-03-12,2009,Waterbury,,148000.0,Single Family,Detached House,3,2,1008.0,1.025953,West
2009-03-12,2009,Fairfield,350350.0,390000.0,?,Detached House,3,2,936.0,1.025953,West
2009-03-12,2009,Bridgeport,78890.0,189000.0,Two Family,Duplex,4,3,1249.0,1.025953,South
2009-03-13,2009,Bridgeport,,153000.0,Single Family,Detached House,3,1,,1.025953,North
2009-03-13,2009,Waterbury,53830.0,174900.0,Single Family,Detached House,3,3,1048.0,1.025953,South
2009-03-14,2009,Waterbury,72450.0,176130.0,Single Family,Detached House,3,3,1039.0,1.025953,East
2009-03-14,2009,Waterbury,71610.0,168000.0,Single Family,Detached House,3,1,910.0,1.025953,West
2009-03-14,2009,Norwalk,226730.0,430000.0,?,Detached House,3,3,1005.0,1.025953,North
2009-03-15,2009,Waterbury,62930.0,159000.0,?,Detached House,3,3,1041.0,1.025953,North
2009-03-15,2009,Waterbury,78750.0,174000.0,Single Family,Detached House,3,1,1011.0,1.025953,East
2009-03-16,2009,Greenwich,4234650.0,6537500.0,Single Family,Detached House,3,3,1082.0,1.025953,North
2009-03-16,2009,Fairfield,328090.0,350000.0,Single Family,Detached House,3,1,963.0,1.025953,East
2009-03-19,2009,Norwalk,,500000.0,Single Family,Detached House,3,2,922.0,1.025953,North
2009-03-19,2009,Bridgeport,99960.0,226600.0,Single Family,Detached House,3,1,919.0,1.025953,West
2009-03-19,2009,Norwalk,358470.0,705000.0,?,Detached House,3,3,,1.025953,East
2009-03-19,2009,Greenwich,4012050.0,6490000.0,Single Family,Detached House,3,3,942.0,1.025953,North
2009-03-19,2009,Waterbury,78120.0,164000.0,Single Family,Detached House,3,1,1027.0,1.025953,South
2009-03-19,2009,Waterbury,55860.0,148847.0,Two Family,Duplex,4,2,1339.0,1.025953,East
2009-03-20,2009,Bridgeport,,42500.0,?,Detached House,3,2,1100.0,1.025953,West
2009-03-22,2009,Waterbury,73640.0,189000.0,Single Family,Detached House,3,2,,1.025953,West
2009-03-22,2009,Bridgeport,124670.0,365000.0,Two Family,Duplex,4,4,,1.025953,West
2009-03-22,2009,Bridgeport,,251200.0,Single Family,Detached House,3,3,1026.0,1.025953,North
2009-03-23,2009,Waterbury,62230.0,187000.0,Three Family,Triplex,6,5,2103.0,1.025953,South
2009-03-23,2009,,2120860.0,3187900.0,Single Family,Detached House,3,2,944.0,1.025953,North
2009-03-26,2009,Waterbury,47950.0,110000.0,Two Family,Duplex,4,4,1306.0,1.025953,East
2009-03-26,2009,Greenwich,1418480.0,2125000.0,Single Family,Detached House,3,3,,1.025953,South
2009-03-26,2009,Fairfield,294910.0,439000.0,Single Family,Detached House,3,1,910.0,1.025953,East
2009-03-26,2009,Waterbury,67620.0,137695.0,?,Detached House,3,2,905.0,1.025953,West
2009-03-27,2009,,84210.0,214000.0,Single Family,Detached House,3,2,1083.0,1.025953,North
2009-03-27,2009,Waterbury,75460.0,163850.0,?,Detached House,3,1,1097.0,1.025953,East
2009-03-28,2009,Norwalk,353430.0,604500.0,Single Family,Detached House,3,2,,1.025953,East
2009-03-28,2009,Waterbury,61530.0,162500.0,Single Family,Detached House,3,2,1050.0,1.025953,West
2009-03-28,2009,Fairfield,541030.0,750000.0,?,Detached House,3,3,1079.0,1.025953,North
2009-03-28,2009,Fairfield,372750.0,635000.0,Single Family,Detached House,3,1,1085.0,1.025953,West
2009-03-28,2009,,105070.0,245000.0,?,Triplex,6,6,2122.0,1.025953,South
2009-03-29,2009,Bridgeport,194580.0,550000.0,Single Family,Detached House,3,2,1071.0,1.025953,North
2009-03-29,2009,Norwalk,234010.0,467500.0,Single Family,Detached House,3,1,1027.0,1.025953,East
2009-03-29,2009,Waterbury,74830.0,160000.0,Single Family,Detached House,3,1,1050.0,1.025953,West
2009-03-29,2009,,123550.0,290000.0,Two Family,Duplex,4,3,1458.0,1.025953,North
2009-03-29,2009,Bridgeport,,300000.0,Single Family,Detached House,3,1,968.0,1.025953,North
2009-03-29,2009,Waterbury,85960.0,159900.0,Single Family,Detached House,3,1,956.0,1.025953,West
2009-03-30,2009,Greenwich,1089270.0,1865000.0,Single Family,Detached House,3,2,1097.0,1.025953,East
2009-03-30,2009,Greenwich,1551410.0,2390000.0,Single Family,Detached House,3,2,974.0,1.025953,North
2009-03-30,2009,Fairfield,375200.0,599500.0,Single Family,Detached House,3,2,1020.0,1.025953,North
2009-03-30,2009,Fairfield,399770.0,550000.0,Single Family,Detached House,3,3,,1.025953,West
2009-03-30,2009,,1243200.0,1956000.0,Single Family,Detached House,3,2,1088.0,1.025953,East
2009-03-30,2009,Norwalk,389410.0,630000.0,Single Family,Detached House,3,1,1016.0,1.025953,West
2009-03-30,2009,Waterbury,104370.0,210000.0,?,Detached House,3,1,1074.0,1.025953,South
2009-03-30,2009,Norwalk,296800.0,676000.0,Single Family,Detached House,3,2,1077.0,1.025953,West
2009-03-30,2009,Greenwich,1552810.0,2950000.0,Single Family,Detached House,3,2,1058.0,1.025953,West
2009-04-02,2009,Waterbury,104160.0,269900.0,?,Duplex,4,4,1349.0,1.025953,West
2009-04-02,2009,Norwalk,240870.0,439000.0,Single Family,Detached House,3,1,990.0,1.025953,East
2009-04-02,2009,Waterbury,107100.0,250000.0,?,Detached House,3,2,,1.025953,South
2009-04-02,2009,Fairfield,487060.0,520000.0,Single Family,Detached House,3,3,1033.0,1.025953,East
2009-04-03,2009,Greenwich,726880.0,1100000.0,?,Duplex,4,2,1236.0,1.025953,West
2009-04-03,2009,Norwalk,255710.0,462000.0,?,Detached House,3,1,1022.0,1.025953,West
2009-04-03,2009,Norwalk,417130.0,705000.0,Single Family,Detached House,3,2,1042.0,1.025953,South
2009-04-03,2009,Greenwich,1502130.0,2050000.0,Single Family,Detached House,3,3,,1.025953,East
2009-04-03,2009,Fairfield,387170.0,515000.0,Single Family,Detached House,3,3,1093.0,1.025953,West
2009-04-04,2009,Waterbury,101430.0,329000.0,Three Family,Triplex,6,6,2019.0,1.025953,North
2009-04-05,2009,Waterbury,,165000.0,Three Family,Triplex,6,4,2161.0,1.025953,North
2009-04-05,2009,,699650.0,500000.0,?,Detached House,3,2,1038.0,1.025953,West
2009-04-05,2009,Waterbury,59570.0,142000.0,?,Detached House,3,2,928.0,1.025953,East
2009-04-05,2009,Bridgeport,42420.0,52000.0,Two Family,Duplex,4,2,1372.0,1.025953,South
2009-04-09,2009,,,62750.0,Single Family,Detached House,3,3,967.0,1.025953,South
2009-04-09,2009,Greenwich,5630730.0,7000000.0,Single Family,Detached House,3,2,999.0,1.025953,North
2009-04-09,2009,Waterbury,63070.0,192500.0,?,Detached House,3,2,1021.0,1.025953,South
2009-04-09,2009,Norwalk,262990.0,545000.0,?,Detached House,3,3,1090.0,1.025953,North
2009-04-09,2009,,77280.0,239900.0,Two Family,Duplex,4,3,1322.0,1.025953,North
2009-04-10,2009,Bridgeport,132021.0,440000.0,?,Fourplex,8,7,2528.0,1.025953,North
2009-04-10,2009,,103250.0,167500.0,Single Family,Detached House,3,1,1066.0,1.025953,South
2009-04-10,2009,Bridgeport,,185000.0,?,Detached House,3,3,970.0,1.025953,East
2009-04-10,2009,Norwalk,242690.0,110000.0,?,Duplex,4,2,1444.0,1.025953,West
2009-04-11,2009,Waterbury,88340.0,148500.0,Single Family,Detached House,3,2,1042.0,1.025953,East
2009-04-11,2009,Greenwich,634200.0,860000.0,Single Family,Detached House,3,3,1083.0,1.025953,North
2009-04-11,2009,Bridgeport,72030.0,233000.0,Single Family,Detached House,3,3,,1.025953,West
2009-04-11,2009,Greenwich,402430.0,670000.0,Single Family,Detached House,3,2,955.0,1.025953,South
2009-04-13,2009,Norwalk,180670.0,405000.0,?,Detached House,3,1,967.0,1.025953,North
2009-04-13,2009,Fairfield,254450.0,343000.0,Single Family,Detached House,3,1,942.0,1.025953,South
2009-04-13,2009,,107660.0,319000.0,Two Family,Duplex,4,3,1248.0,1.025953,North
2009-04-16,2009,Waterbury,71680.0,129900.0,Single Family,Detached House,3,2,1003.0,1.025953,South
2009-04-16,2009,Waterbury,69300.0,173000.0,Single Family,Detached House,3,3,902.0,1.025953,North
2009-04-17,2009,,171640.0,329960.0,Single Family,Detached House,3,3,1039.0,1.025953,North
2009-04-17,2009,Norwalk,,700100.0,?,Detached House,3,1,949.0,1.025953,West
2009-04-17,2009,Fairfield,521150.0,670000.0,Single Family,Detached House,3,1,996.0,1.025953,North
2009-04-17,2009,Bridgeport,87570.0,216750.0,Single Family,Detached House,3,1,978.0,1.025953,North
2009-04-18,2009,,45430.0,126000.0,Single Family,Detached House,3,1,961.0,1.025953,North
2009-04-18,2009,Bridgeport,71680.0,164000.0,Single Family,Detached House,3,1,1054.0,1.025953,South
2009-04-19,2009,Bridgeport,132580.0,262000.0,Single Family,Detached House,3,1,1008.0,1.025953,South
2009-04-20,2009,Waterbury,89950.0,186000.0,Single Family,Detached House,3,2,1086.0,1.025953,South
2009-04-23,2009,Greenwich,479430.0,1125000.0,Single Family,Detached House,3,2,,1.025953,South
2009-04-24,2009,Norwalk,248360.0,455000.0,Single Family,Detached House,3,1,1023.0,1.025953,North
2009-04-24,2009,Bridgeport,,212500.0,Single Family,Detached House,3,2,1095.0,1.025953,North
2009-04-25,2009,Bridgeport,60831.0,140000.0,Single Family,Detached House,3,3,1061.0,1.025953,North
2009-04-26,2009,Greenwich,1227660.0,2850000.0,Single Family,Detached House,3,3,981.0,1.025953,South
2009-04-27,2009,Bridgeport,108920.0,252000.0,Two Family,Duplex,4,3,1364.0,1.025953,West
2009-04-30,2009,Bridgeport,104952.0,225000.0,Single Family,Detached House,3,1,979.0,1.025953,South
2009-04-30,2009,,1183700.0,4675000.0,Single Family,Detached House,3,3,1003.0,1.025953,West
2009-04-30,2009,Fairfield,243390.0,365000.0,Single Family,Detached House,3,1,937.0,1.025953,East
2009-04-30,2009,Bridgeport,180460.0,350000.0,Single Family,Detached House,3,2,1076.0,1.025953,East
2009-04-30,2009,Norwalk,297780.0,570000.0,Single Family,Detached House,3,2,976.0,1.025953,West
2009-05-01,2009,,427420.0,610000.0,Single Family,Detached House,3,3,955.0,1.025953,East
2009-05-01,2009,,80150.0,160000.0,Single Family,Detached House,3,3,954.0,1.025953,North
2009-05-01,2009,Waterbury,99470.0,235000.0,Single Family,Detached House,3,2,1020.0,1.025953,North
2009-05-01,2009,,65520.0,152000.0,Single Family,Detached House,3,3,1011.0,1.025953,North
2009-05-01,2009,Greenwich,,2515000.0,Single Family,Detached House,3,2,914.0,1.025953,West
2009-05-01,2009,Waterbury,44170.0,97000.0,Three Family,Triplex,6,4,2036.0,1.025953,East
2009-05-01,2009,Bridgeport,,352000.0,?,Detached House,3,3,913.0,1.025953,North
2009-05-01,2009,Fairfield,273700.0,456100.0,Single Family,Detached House,3,3,1095.0,1.025953,North
2009-05-01,2009,Waterbury,57470.0,143400.0,?,Detached House,3,3,996.0,1.025953,North
2009-05-02,2009,Fairfield,343280.0,455000.0,Single Family,Detached House,3,3,978.0,1.025953,South
2009-05-02,2009,Norwalk,384440.0,722500.0,Single Family,Detached House,3,1,1096.0,1.025953,South
2009-05-03,2009,Norwalk,176400.0,350000.0,Single Family,Detached House,3,3,946.0,1.025953,East
2009-05-03,2009,Fairfield,1064840.0,1550000.0,Single Family,Detached House,3,2,1015.0,1.025953,West
2009-05-04,2009,Fairfield,1004920.0,1275000.0,Single Family,Detached House,3,1,1026.0,1.025953,South
2009-05-04,2009,Fairfield,2368170.0,1775000.0,Single Family,Detached House,3,2,1016.0,1.025953,East
2009-05-07,2009,Bridgeport,115431.0,87637.0,Single Family,Detached House,3,2,1091.0,1.025953,West
2009-05-07,2009,Bridgeport,104580.0,226000.0,Single Family,Detached House,3,2,1078.0,1.025953,North
2009-05-07,2009,Waterbury,,155000.0,Single Family,Detached House,3,1,973.0,1.025953,West
2009-05-08,2009,Fairfield,1455300.0,2500000.0,Single Family,Detached House,3,3,1071.0,1.025953,North
2009-05-08,2009,Norwalk,447510.0,600000.0,Single Family,Detached House,3,2,1027.0,1.025953,South
2009-05-09,2009,Norwalk,293370.0,521000.0,Single Family,Detached House,3,2,935.0,1.025953,North
2009-05-09,2009,Greenwich,,6000000.0,Single Family,Detached House,3,2,947.0,1.025953,North
2009-05-10,2009,Bridgeport,161210.0,335000.0,Single Family,Detached House,3,1,920.0,1.025953,South
2009-05-10,2009,Fairfield,2031120.0,4450000.0,Single Family,Detached House,3,2,915.0,1.025953,South
2009-05-10,2009,Greenwich,595210.0,1100000.0,Single Family,Detached House,3,2,1072.0,1.025953,South
2009-05-11,2009,Greenwich,2488920.0,4995000.0,Single Family,Detached House,3,3,957.0,1.025953,West
2009-05-11,2009,Waterbury,33600.0,228000.0,Single Family,Detached House,3,2,1002.0,1.025953,North
2009-05-11,2009,,121373.0,344900.0,Two Family,Duplex,4,4,1364.0,1.025953,South
2009-05-11,2009,Waterbury,70350.0,176500.0,Single Family,Detached House,3,2,1085.0,1.025953,South
2009-05-14,2009,Norwalk,508060.0,865000.0,Single Family,Detached House,3,1,1089.0,1.025953,East
2009-05-14,2009,Bridgeport,118020.0,199000.0,Single Family,Detached House,3,1,1057.0,1.025953,East
2009-05-14,2009,Waterbury,91350.0,236000.0,Two Family,Duplex,4,2,1387.0,1.025953,North
2009-05-14,2009,Fairfield,552720.0,960000.0,Single Family,Detached House,3,3,,1.025953,North
2009-05-15,2009,,,6632000.0,?,Detached House,3,1,1086.0,1.025953,West
2009-05-15,2009,Bridgeport,196980.0,478000.0,Single Family,Detached House,3,2,1100.0,1.025953,North
2009-05-15,2009,Greenwich,,3595000.0,Single Family,Detached House,3,3,1010.0,1.025953,West
2009-05-16,2009,Waterbury,69020.0,125000.0,?,Triplex,6,5,1827.0,1.025953,West
2009-05-17,2009,Waterbury,46340.0,99000.0,Single Family,Detached House,3,1,1085.0,1.025953,South
2009-05-17,2009,Waterbury,3990.0,15000.0,Single Family,Detached House,3,1,957.0,1.025953,East
2009-05-17,2009,Bridgeport,150010.0,315000.0,Two Family,Duplex,4,3,1469.0,1.025953,East
2009-05-17,2009,Norwalk,290430.0,550000.0,Single Family,Detached House,3,2,983.0,1.025953,North
2009-05-18,2009,,553560.0,810000.0,Single Family,Detached House,3,1,1012.0,1.025953,South
2009-05-18,2009,Waterbury,78750.0,209900.0,Three Family,Triplex,6,5,2180.0,1.025953,East
2009-05-18,2009,Waterbury,53480.0,235000.0,Three Family,Triplex,6,5,2176.0,1.025953,East
2009-05-18,2009,Waterbury,58450.0,159000.0,Single Family,Detached House,3,2,965.0,1.025953,East
2009-05-18,2009,,603610.0,1000075.0,Single Family,Detached House,3,3,976.0,1.025953,South
2009-05-21,2009,Fairfield,832440.0,1330000.0,Single Family,Detached House,3,1,,1.025953,South
2009-05-23,2009,Bridgeport,160860.0,329800.0,Single Family,Detached House,3,3,909.0,1.025953,East
2009-05-24,2009,Norwalk,286226.0,679000.0,Single Family,Detached House,3,1,925.0,1.025953,North
2009-05-24,2009,Bridgeport,98140.0,196000.0,Two Family,Duplex,4,4,1283.0,1.025953,East
2009-05-25,2009,Waterbury,104860.0,191250.0,Single Family,Detached House,3,3,1086.0,1.025953,South
2009-05-25,2009,Norwalk,217980.0,400000.0,Single Family,Detached House,3,3,989.0,1.025953,West
